id_evento,volcan,region,fecha_evento,magnitud,nivel_peligro
185,Lonquimay,Metropolitana,2020-07-03,3.06,Amarillo
186,Tupungatito,Maule,2020-07-04,1.27,Verde
187,Lonquimay,Metropolitana,2020-07-05,7.13,Amarillo
188,Tupungatito,Maule,2020-07-06,3.1,Verde
189,Tupungatito,Metropolitana,2020-07-07,3.01,Naranja
190,Lonquimay,Biobío,2020-07-08,6.1,Amarillo
191,Villarrica,Araucanía,2020-07-09,4.35,Amarillo
192,Nevados de Chillán,Metropolitana,2020-07-10,2.02,Amarillo
193,Osorno,Araucanía,2020-07-11,3.63,Verde
194,Tupungatito,Los Lagos,2020-07-12,4.93,Verde
195,Tupungatito,Maule,2020-07-13,4.27,Verde
196,Villarrica,Araucanía,2020-07-14,6.18,Verde
197,Llaima,Maule,2020-07-15,7.28,Verde
198,Villarrica,Maule,2020-07-16,2.7,Verde
199,Osorno,Los Lagos,2020-07-17,5.47,Verde
200,Llaima,Metropolitana,2020-07-18,4.25,Verde
201,Osorno,Biobío,2020-07-19,5.92,Amarillo
202,Llaima,Metropolitana,2020-07-20,6.62,Verde
203,Lonquimay,Metropolitana,2020-07-21,1.67,Naranja
204,Villarrica,Metropolitana,2020-07-22,3.4,Amarillo
205,Calbuco,Los Lagos,2020-07-23,3.14,Rojo
206,Calbuco,Los Lagos,2020-07-24,3.65,Amarillo
207,Villarrica,Biobío,2020-07-25,5.62,Verde
208,Lonquimay,Los Lagos,2020-07-26,6.02,Verde
209,Nevados de Chillán,Metropolitana,2020-07-27,3.88,Amarillo
210,Osorno,Biobío,2020-07-28,6.01,Amarillo
211,Tupungatito,Biobío,2020-07-29,2.21,Verde
212,Calbuco,Biobío,2020-07-30,4.22,Verde
213,Osorno,Metropolitana,2020-07-31,2.41,Amarillo
214,Osorno,Araucanía,2020-08-01,4.16,Verde
215,Llaima,Araucanía,2020-08-02,4.71,Naranja
216,Nevados de Chillán,Metropolitana,2020-08-03,4.11,Naranja
217,Lonquimay,Araucanía,2020-08-04,6.46,Verde
218,Osorno,Metropolitana,2020-08-05,7.68,Amarillo
219,Tupungatito,Araucanía,2020-08-06,3.96,Amarillo
220,Llaima,Biobío,2020-08-07,5.78,Verde
221,Osorno,Maule,2020-08-08,5.87,Verde
222,Tupungatito,Biobío,2020-08-09,7.65,Amarillo
223,Osorno,Maule,2020-08-10,2.94,Verde
224,Tupungatito,Metropolitana,2020-08-11,1.92,Naranja
225,Villarrica,Araucanía,2020-08-12,2.53,Naranja
226,Osorno,Maule,2020-08-13,6.7,Amarillo
227,Tupungatito,Los Lagos,2020-08-14,1.3,Amarillo
228,Tupungatito,Biobío,2020-08-15,2.34,Verde
229,Villarrica,Biobío,2020-08-16,3.1,Amarillo
230,Osorno,Metropolitana,2020-08-17,5.47,Verde
231,Llaima,Metropolitana,2020-08-18,6.4,Verde
232,Nevados de Chillán,Maule,2020-08-19,4.23,Naranja
233,Osorno,Los Lagos,2020-08-20,2.58,Verde
234,Llaima,Maule,2020-08-21,1.78,Verde
235,Osorno,Maule,2020-08-22,5.05,Verde
236,Calbuco,Metropolitana,2020-08-23,3.67,Verde
237,Tupungatito,Araucanía,2020-08-24,1.13,Amarillo
238,Villarrica,Metropolitana,2020-08-25,2.99,Verde
239,Osorno,Araucanía,2020-08-26,5.62,Naranja
240,Villarrica,Metropolitana,2020-08-27,3.41,Verde
241,Villarrica,Metropolitana,2020-08-28,7.6,Amarillo
242,Calbuco,Los Lagos,2020-08-29,6.16,Amarillo
243,Calbuco,Metropolitana,2020-08-30,6.46,Amarillo
244,Llaima,Metropolitana,2020-08-31,4.04,Verde
245,Tupungatito,Araucanía,2020-09-01,4.49,Naranja
246,Tupungatito,Maule,2020-09-02,3.64,Verde
247,Villarrica,Biobío,2020-09-03,4.2,Naranja
248,Calbuco,Araucanía,2020-09-04,6.41,Amarillo
249,Nevados de Chillán,Biobío,2020-09-05,6.87,Verde
250,Calbuco,Metropolitana,2020-09-06,5.54,Naranja
251,Lonquimay,Biobío,2020-09-07,5.5,Verde
252,Osorno,Biobío,2020-09-08,6.47,Amarillo
253,Nevados de Chillán,Los Lagos,2020-09-09,2.47,Naranja
254,Llaima,Maule,2020-09-10,1.48,Amarillo
255,Lonquimay,Maule,2020-09-11,5.83,Amarillo
256,Calbuco,Maule,2020-09-12,6.58,Verde
257,Calbuco,Metropolitana,2020-09-13,2.63,Amarillo
258,Calbuco,Metropolitana,2020-09-14,7.02,Amarillo
259,Nevados de Chillán,Biobío,2020-09-15,5.09,Naranja
260,Lonquimay,Los Lagos,2020-09-16,5.94,Verde
261,Osorno,Los Lagos,2020-09-17,4.02,Naranja
262,Nevados de Chillán,Biobío,2020-09-18,3.9,Verde
263,Osorno,Los Lagos,2020-09-19,4.09,Verde
264,Osorno,Biobío,2020-09-20,5.35,Amarillo
265,Tupungatito,Metropolitana,2020-09-21,4.03,Amarillo
266,Calbuco,Maule,2020-09-22,1.12,Verde
267,Nevados de Chillán,Biobío,2020-09-23,6.98,Amarillo
268,Villarrica,Metropolitana,2020-09-24,3.47,Amarillo
269,Calbuco,Maule,2020-09-25,1.94,Amarillo
270,Llaima,Metropolitana,2020-09-26,7.44,Verde
271,Nevados de Chillán,Araucanía,2020-09-27,7.17,Amarillo
272,Lonquimay,Araucanía,2020-09-28,1.98,Verde
273,Tupungatito,Biobío,2020-09-29,1.15,Rojo
274,Calbuco,Metropolitana,2020-09-30,5.43,Verde
275,Nevados de Chillán,Araucanía,2020-10-01,2.84,Verde
276,Tupungatito,Maule,2020-10-02,4.37,Verde
277,Villarrica,Los Lagos,2020-10-03,3.64,Verde
278,Osorno,Los Lagos,2020-10-04,7.07,Naranja
279,Osorno,Biobío,2020-10-05,3.24,Rojo
280,Villarrica,Metropolitana,2020-10-06,5.27,Verde
281,Llaima,Maule,2020-10-07,4.53,Naranja
282,Tupungatito,Maule,2020-10-08,6.07,Rojo
283,Nevados de Chillán,Maule,2020-10-09,3.6,Amarillo
284,Osorno,Araucanía,2020-10-10,5.12,Amarillo
285,Llaima,Araucanía,2020-10-11,1.82,Amarillo
286,Lonquimay,Los Lagos,2020-10-12,6.71,Amarillo
287,Tupungatito,Maule,2020-10-13,5.0,Verde
288,Llaima,Araucanía,2020-10-14,4.17,Verde
289,Calbuco,Araucanía,2020-10-15,6.5,Verde
290,Lonquimay,Araucanía,2020-10-16,1.02,Amarillo
291,Villarrica,Biobío,2020-10-17,6.82,Naranja
292,Llaima,Metropolitana,2020-10-18,6.53,Verde
293,Nevados de Chillán,Metropolitana,2020-10-19,4.42,Verde
294,Tupungatito,Metropolitana,2020-10-20,5.94,Verde
295,Lonquimay,Los Lagos,2020-10-21,7.75,Amarillo
296,Llaima,Biobío,2020-10-22,5.78,Amarillo
297,Osorno,Araucanía,2020-10-23,6.18,Amarillo
298,Tupungatito,Araucanía,2020-10-24,7.13,Amarillo
299,Villarrica,Biobío,2020-10-25,1.05,Amarillo
300,Llaima,Maule,2020-10-26,2.36,Verde
301,Villarrica,Araucanía,2020-10-27,5.31,Verde
302,Villarrica,Los Lagos,2020-10-28,4.13,Amarillo
303,Nevados de Chillán,Biobío,2020-10-29,2.41,Naranja
304,Calbuco,Los Lagos,2020-10-30,2.3,Verde
305,Tupungatito,Biobío,2020-10-31,3.99,Verde
306,Tupungatito,Araucanía,2020-11-01,6.62,Naranja
307,Tupungatito,Los Lagos,2020-11-02,1.35,Verde
308,Lonquimay,Maule,2020-11-03,5.68,Naranja
309,Osorno,Maule,2020-11-04,1.6,Verde
310,Tupungatito,Araucanía,2020-11-05,2.89,Verde
311,Calbuco,Biobío,2020-11-06,5.1,Naranja
312,Villarrica,Araucanía,2020-11-07,5.26,Amarillo
313,Llaima,Biobío,2020-11-08,1.96,Verde
314,Osorno,Araucanía,2020-11-09,3.08,Verde
315,Villarrica,Los Lagos,2020-11-10,2.98,Amarillo
316,Nevados de Chillán,Metropolitana,2020-11-11,2.16,Verde
317,Villarrica,Biobío,2020-11-12,2.3,Verde
318,Nevados de Chillán,Araucanía,2020-11-13,1.09,Amarillo
319,Calbuco,Los Lagos,2020-11-14,5.26,Amarillo
320,Calbuco,Los Lagos,2020-11-15,1.2,Verde
321,Lonquimay,Los Lagos,2020-11-16,3.25,Naranja
322,Calbuco,Biobío,2020-11-17,2.05,Verde
323,Calbuco,Biobío,2020-11-18,5.17,Amarillo
324,Tupungatito,Maule,2020-11-19,3.83,Verde
325,Lonquimay,Maule,2020-11-20,2.07,Amarillo
326,Llaima,Araucanía,2020-11-21,7.42,Amarillo
327,Tupungatito,Los Lagos,2020-11-22,1.47,Amarillo
328,Villarrica,Biobío,2020-11-23,7.5,Amarillo
329,Calbuco,Araucanía,2020-11-24,4.84,Verde
330,Llaima,Los Lagos,2020-11-25,7.67,Verde
331,Villarrica,Araucanía,2020-11-26,2.76,Verde
332,Villarrica,Biobío,2020-11-27,1.65,Verde
333,Calbuco,Maule,2020-11-28,1.63,Amarillo
334,Nevados de Chillán,Biobío,2020-11-29,4.33,Verde
335,Calbuco,Metropolitana,2020-11-30,5.11,Rojo
336,Llaima,Biobío,2020-12-01,3.28,Amarillo
337,Villarrica,Metropolitana,2020-12-02,3.68,Verde
338,Lonquimay,Biobío,2020-12-03,5.74,Verde
339,Tupungatito,Los Lagos,2020-12-04,4.91,Naranja
340,Lonquimay,Araucanía,2020-12-05,3.33,Verde
341,Villarrica,Metropolitana,2020-12-06,3.87,Verde
342,Lonquimay,Biobío,2020-12-07,1.7,Verde
343,Llaima,Biobío,2020-12-08,7.94,Verde
344,Llaima,Maule,2020-12-09,2.2,Naranja
345,Llaima,Maule,2020-12-10,4.21,Amarillo
346,Nevados de Chillán,Maule,2020-12-11,6.33,Verde
347,Lonquimay,Los Lagos,2020-12-12,5.38,Verde
348,Nevados de Chillán,Metropolitana,2020-12-13,7.88,Verde
349,Llaima,Metropolitana,2020-12-14,4.93,Verde
350,Lonquimay,Biobío,2020-12-15,4.94,Amarillo
351,Osorno,Araucanía,2020-12-16,6.89,Amarillo
352,Calbuco,Biobío,2020-12-17,3.59,Verde
353,Calbuco,Araucanía,2020-12-18,1.34,Amarillo
354,Osorno,Los Lagos,2020-12-19,2.93,Amarillo
355,Osorno,Biobío,2020-12-20,3.21,Verde
356,Lonquimay,Biobío,2020-12-21,4.04,Verde
357,Calbuco,Araucanía,2020-12-22,6.32,Naranja
358,Villarrica,Metropolitana,2020-12-23,4.02,Verde
359,Villarrica,Los Lagos,2020-12-24,4.22,Amarillo
360,Villarrica,Araucanía,2020-12-25,1.62,Verde
361,Villarrica,Los Lagos,2020-12-26,2.08,Rojo
362,Calbuco,Metropolitana,2020-12-27,3.73,Naranja
363,Tupungatito,Maule,2020-12-28,5.03,Verde
364,Nevados de Chillán,Metropolitana,2020-12-29,6.08,Verde
365,Nevados de Chillán,Maule,2020-12-30,6.93,Verde
366,Llaima,Los Lagos,2020-12-31,2.84,Naranja
367,Lonquimay,Metropolitana,2021-01-01,7.23,Amarillo
368,Lonquimay,Araucanía,2021-01-02,2.03,Verde
369,Llaima,Biobío,2021-01-03,1.44,Verde
370,Osorno,Araucanía,2021-01-04,3.25,Naranja
371,Nevados de Chillán,Maule,2021-01-05,1.06,Naranja
372,Osorno,Biobío,2021-01-06,3.68,Verde
373,Villarrica,Biobío,2021-01-07,4.78,Amarillo
374,Llaima,Biobío,2021-01-08,2.88,Verde
375,Calbuco,Maule,2021-01-09,7.27,Amarillo
376,Osorno,Maule,2021-01-10,1.97,Verde
377,Tupungatito,Metropolitana,2021-01-11,1.69,Naranja
378,Calbuco,Biobío,2021-01-12,4.41,Amarillo
379,Lonquimay,Biobío,2021-01-13,3.94,Amarillo
380,Lonquimay,Maule,2021-01-14,3.74,Verde
381,Llaima,Araucanía,2021-01-15,2.78,Amarillo
382,Lonquimay,Araucanía,2021-01-16,5.39,Verde
383,Lonquimay,Maule,2021-01-17,2.27,Amarillo
384,Calbuco,Araucanía,2021-01-18,7.87,Verde
385,Nevados de Chillán,Araucanía,2021-01-19,5.07,Rojo
386,Nevados de Chillán,Maule,2021-01-20,2.51,Naranja
387,Villarrica,Araucanía,2021-01-21,3.56,Verde
388,Osorno,Araucanía,2021-01-22,7.14,Naranja
389,Calbuco,Metropolitana,2021-01-23,7.97,Naranja
390,Llaima,Biobío,2021-01-24,5.21,Amarillo
391,Osorno,Los Lagos,2021-01-25,3.66,Verde
392,Villarrica,Los Lagos,2021-01-26,3.05,Naranja
393,Calbuco,Los Lagos,2021-01-27,5.88,Naranja
394,Llaima,Maule,2021-01-28,4.98,Verde
395,Calbuco,Metropolitana,2021-01-29,6.26,Verde
396,Osorno,Los Lagos,2021-01-30,3.28,Verde
397,Nevados de Chillán,Araucanía,2021-01-31,7.52,Naranja
398,Lonquimay,Biobío,2021-02-01,4.03,Verde
399,Calbuco,Los Lagos,2021-02-02,6.16,Amarillo
400,Tupungatito,Araucanía,2021-02-03,7.07,Verde
401,Villarrica,Biobío,2021-02-04,3.66,Verde
402,Osorno,Los Lagos,2021-02-05,6.3,Verde
403,Villarrica,Metropolitana,2021-02-06,2.15,Naranja
404,Lonquimay,Biobío,2021-02-07,1.51,Amarillo
405,Llaima,Biobío,2021-02-08,3.15,Naranja
406,Osorno,Metropolitana,2021-02-09,5.13,Verde
407,Nevados de Chillán,Biobío,2021-02-10,7.0,Verde
408,Tupungatito,Araucanía,2021-02-11,5.38,Amarillo
409,Osorno,Metropolitana,2021-02-12,2.49,Verde
410,Osorno,Los Lagos,2021-02-13,7.94,Amarillo
411,Calbuco,Biobío,2021-02-14,2.9,Verde
412,Villarrica,Maule,2021-02-15,7.1,Verde
413,Osorno,Araucanía,2021-02-16,5.67,Verde
414,Tupungatito,Maule,2021-02-17,5.23,Amarillo
415,Lonquimay,Los Lagos,2021-02-18,1.01,Verde
416,Llaima,Maule,2021-02-19,2.69,Verde
417,Villarrica,Maule,2021-02-20,6.77,Rojo
418,Calbuco,Araucanía,2021-02-21,7.83,Verde
419,Llaima,Metropolitana,2021-02-22,3.05,Verde
420,Llaima,Biobío,2021-02-23,7.72,Naranja
421,Llaima,Los Lagos,2021-02-24,7.73,Verde
422,Villarrica,Los Lagos,2021-02-25,2.41,Amarillo
423,Osorno,Araucanía,2021-02-26,2.52,Amarillo
424,Villarrica,Maule,2021-02-27,4.62,Verde
425,Nevados de Chillán,Maule,2021-02-28,2.22,Amarillo
426,Calbuco,Araucanía,2021-03-01,4.73,Verde
427,Nevados de Chillán,Metropolitana,2021-03-02,7.29,Amarillo
428,Lonquimay,Araucanía,2021-03-03,5.8,Naranja
429,Villarrica,Biobío,2021-03-04,7.03,Amarillo
430,Osorno,Maule,2021-03-05,4.81,Verde
431,Villarrica,Araucanía,2021-03-06,6.53,Amarillo
432,Osorno,Biobío,2021-03-07,7.25,Verde
433,Nevados de Chillán,Los Lagos,2021-03-08,6.93,Amarillo
434,Tupungatito,Metropolitana,2021-03-09,2.94,Amarillo
435,Osorno,Los Lagos,2021-03-10,1.73,Verde
436,Llaima,Los Lagos,2021-03-11,4.78,Verde
437,Lonquimay,Maule,2021-03-12,6.48,Amarillo
438,Llaima,Araucanía,2021-03-13,3.98,Naranja
439,Tupungatito,Los Lagos,2021-03-14,7.93,Amarillo
440,Osorno,Maule,2021-03-15,4.07,Verde
441,Tupungatito,Biobío,2021-03-16,1.14,Amarillo
442,Villarrica,Metropolitana,2021-03-17,6.87,Naranja
443,Tupungatito,Maule,2021-03-18,1.27,Verde
444,Nevados de Chillán,Araucanía,2021-03-19,7.94,Naranja
445,Nevados de Chillán,Metropolitana,2021-03-20,3.65,Amarillo
446,Villarrica,Los Lagos,2021-03-21,2.49,Verde
447,Nevados de Chillán,Los Lagos,2021-03-22,6.26,Amarillo
448,Calbuco,Maule,2021-03-23,7.06,Verde
449,Nevados de Chillán,Metropolitana,2021-03-24,2.94,Amarillo
450,Llaima,Metropolitana,2021-03-25,5.29,Verde
451,Villarrica,Araucanía,2021-03-26,6.12,Amarillo
452,Tupungatito,Maule,2021-03-27,6.67,Amarillo
453,Osorno,Araucanía,2021-03-28,7.39,Amarillo
454,Tupungatito,Biobío,2021-03-29,5.23,Verde
455,Lonquimay,Los Lagos,2021-03-30,4.25,Naranja
456,Villarrica,Maule,2021-03-31,2.72,Naranja
457,Nevados de Chillán,Metropolitana,2021-04-01,6.42,Verde
458,Lonquimay,Maule,2021-04-02,3.92,Naranja
459,Tupungatito,Araucanía,2021-04-03,1.84,Verde
460,Tupungatito,Los Lagos,2021-04-04,7.57,Naranja
461,Llaima,Los Lagos,2021-04-05,2.23,Verde
462,Osorno,Araucanía,2021-04-06,2.78,Amarillo
