Fecha,Magnitud,Profundidad_km,Duracion_seg,Distancia_km,Region,Danos
2010-01-11 23:31:57.967864524,6.0,19.0,37.5,250.6,Biobío,0
2010-01-12 05:57:37.430495366,3.2,115.2,40.6,135.7,Maule,0
2010-01-12 12:23:16.893126208,8.5,451.0,84.3,310.7,Tarapacá,1
2010-01-12 18:48:56.355757050,4.6,503.3,46.2,478.6,La Araucanía,0
2010-01-13 01:14:35.818387892,7.0,409.9,101.7,301.0,Maule,0
2010-01-13 07:40:15.281018734,4.9,104.6,36.5,315.2,Biobío,0
2010-01-13 14:05:54.743649576,6.1,314.6,100.6,467.4,Metropolitana,0
2010-01-13 20:31:34.206280418,6.3,251.8,86.5,258.1,Magallanes,1
2010-01-14 02:57:13.668911260,4.1,349.5,76.8,498.2,Biobío,0
2010-01-14 09:22:53.131542102,8.8,609.9,92.2,80.7,Aysén,1
2010-01-14 15:48:32.594172944,7.7,544.2,152.0,269.0,Magallanes,0
2010-01-14 22:14:12.056803786,8.6,63.4,117.3,107.2,O'Higgins,1
2010-01-15 04:39:51.519434629,8.4,623.8,164.6,227.2,Coquimbo,1
2010-01-15 11:05:30.982065471,6.6,332.9,35.7,86.1,Arica y Parinacota,1
2010-01-15 17:31:10.444696313,8.5,522.0,135.3,112.0,O'Higgins,1
2010-01-15 23:56:49.907327155,3.5,102.3,60.4,106.2,Ñuble,0
2010-01-16 06:22:29.369957997,4.2,471.2,24.3,160.7,Antofagasta,0
2010-01-16 12:48:08.832588839,3.3,169.2,45.2,68.2,Coquimbo,0
2010-01-16 19:13:48.295219681,5.0,309.7,85.1,404.9,Metropolitana,0
2010-01-17 01:39:27.757850523,5.3,16.7,71.1,111.1,Metropolitana,0
2010-01-17 08:05:07.220481365,4.6,110.4,27.4,208.9,Aysén,0
2010-01-17 14:30:46.683112207,8.0,69.0,123.2,9.0,Los Lagos,1
2010-01-17 20:56:26.145743049,5.1,171.6,30.1,53.3,Metropolitana,0
2010-01-18 03:22:05.608373891,4.7,74.5,81.1,448.2,Biobío,0
2010-01-18 09:47:45.071004733,6.3,485.9,35.6,418.7,Los Ríos,0
2010-01-18 16:13:24.533635575,3.8,25.2,26.8,420.6,Biobío,0
2010-01-18 22:39:03.996266417,7.8,434.3,71.2,206.3,Tarapacá,0
2010-01-19 05:04:43.458897259,3.4,102.8,49.3,71.6,Tarapacá,0
2010-01-19 11:30:22.921528101,8.9,661.9,174.8,54.8,Antofagasta,1
2010-01-19 17:56:02.384158943,7.6,653.5,51.4,303.2,Valparaíso,0
2010-01-20 00:21:41.846789786,4.2,161.7,30.0,414.3,Magallanes,0
2010-01-20 06:47:21.309420628,3.0,432.0,31.6,450.2,Los Lagos,0
2010-01-20 13:13:00.772051470,7.9,24.5,138.6,145.1,La Araucanía,1
2010-01-20 19:38:40.234682312,7.2,652.6,86.5,161.2,Ñuble,0
2010-01-21 02:04:19.697313154,7.4,368.5,72.7,51.3,Tarapacá,0
2010-01-21 08:29:59.159943996,7.6,35.0,102.0,387.4,Los Ríos,0
2010-01-21 14:55:38.622574838,3.4,243.0,30.3,138.6,Metropolitana,0
2010-01-21 21:21:18.085205680,5.2,58.4,57.3,241.0,Los Ríos,0
2010-01-22 03:46:57.547836522,3.7,278.1,37.0,464.5,Magallanes,0
2010-01-22 10:12:37.010467364,8.2,470.6,139.9,376.4,Maule,0
2010-01-22 16:38:16.473098206,6.7,331.6,126.4,27.3,Maule,0
2010-01-22 23:03:55.935729048,5.0,271.7,82.0,5.1,Tarapacá,0
2010-01-23 05:29:35.398359890,3.4,87.8,39.4,393.9,O'Higgins,0
2010-01-23 11:55:14.860990732,4.9,175.2,61.6,276.7,Los Lagos,0
2010-01-23 18:20:54.323621574,5.0,74.6,34.4,360.4,O'Higgins,0
2010-01-24 00:46:33.786252416,7.4,566.2,119.9,79.3,O'Higgins,1
2010-01-24 07:12:13.248883258,6.8,99.0,94.8,436.2,Tarapacá,0
2010-01-24 13:37:52.711514100,8.3,418.8,153.9,386.9,Aysén,0
2010-01-24 20:03:32.174144942,5.8,243.2,46.5,445.5,Antofagasta,0
2010-01-25 02:29:11.636775785,3.7,162.1,60.7,171.2,Atacama,0
2010-01-25 08:54:51.099406627,7.3,449.4,111.5,138.6,Biobío,0
2010-01-25 15:20:30.562037469,7.6,322.6,68.3,76.7,Los Lagos,1
2010-01-25 21:46:10.024668311,6.4,283.1,96.1,465.1,Valparaíso,0
2010-01-26 04:11:49.487299153,7.6,417.0,143.4,89.2,Tarapacá,1
2010-01-26 10:37:28.949929995,6.0,346.4,112.7,60.5,Coquimbo,0
2010-01-26 17:03:08.412560837,6.1,215.9,96.3,97.1,Maule,1
2010-01-26 23:28:47.875191679,5.6,393.5,32.0,385.9,Valparaíso,0
2010-01-27 05:54:27.337822521,3.2,470.3,57.9,444.9,La Araucanía,0
2010-01-27 12:20:06.800453363,3.6,23.6,53.5,405.6,Los Ríos,0
2010-01-27 18:45:46.263084205,3.2,328.8,30.9,282.1,O'Higgins,0
2010-01-28 01:11:25.725715047,6.8,45.1,53.1,496.9,Tarapacá,0
2010-01-28 07:37:05.188345889,4.9,134.6,33.0,35.4,Atacama,0
2010-01-28 14:02:44.650976731,6.1,394.6,35.1,433.7,Valparaíso,0
2010-01-28 20:28:24.113607573,8.4,607.0,137.0,214.4,Atacama,0
2010-01-29 02:54:03.576238415,4.5,618.5,38.4,228.1,Maule,0
2010-01-29 09:19:43.038869258,5.5,53.6,29.5,64.7,La Araucanía,0
2010-01-29 15:45:22.501500100,7.5,296.3,82.2,17.7,Tarapacá,1
2010-01-29 22:11:01.964130942,4.4,410.2,53.9,159.0,Aysén,0
2010-01-30 04:36:41.426761784,3.5,107.2,26.4,88.3,Metropolitana,0
2010-01-30 11:02:20.889392626,4.7,537.0,26.6,242.2,Maule,0
2010-01-30 17:28:00.352023468,4.0,522.2,31.3,74.5,Tarapacá,0
2010-01-30 23:53:39.814654310,8.6,632.8,130.6,69.8,La Araucanía,1
2010-01-31 06:19:19.277285152,7.8,10.9,48.6,438.6,Valparaíso,1
2010-01-31 12:44:58.739915994,6.8,155.6,90.6,460.7,Tarapacá,0
2010-01-31 19:10:38.202546836,8.2,579.9,59.0,482.1,Coquimbo,0
2010-02-01 01:36:17.665177678,7.8,471.1,61.9,340.6,La Araucanía,0
2010-02-01 08:01:57.127808520,4.1,626.6,44.7,385.7,Los Lagos,0
2010-02-01 14:27:36.590439362,8.4,44.7,54.7,418.1,Biobío,1
2010-02-01 20:53:16.053070204,6.2,419.9,47.1,329.8,O'Higgins,0
2010-02-02 03:18:55.515701046,7.8,400.5,79.8,165.8,Antofagasta,1
2010-02-02 09:44:34.978331888,8.4,29.8,83.5,79.0,Aysén,1
2010-02-02 16:10:14.440962730,4.9,361.9,79.6,119.4,Coquimbo,0
2010-02-02 22:35:53.903593572,3.7,428.6,22.7,420.4,Antofagasta,0
2010-02-03 05:01:33.366224415,4.4,137.9,78.8,348.4,Antofagasta,0
2010-02-03 11:27:12.828855257,5.6,195.0,96.6,228.4,Arica y Parinacota,0
2010-02-03 17:52:52.291486099,7.9,450.0,130.3,15.7,Los Lagos,1
2010-02-04 00:18:31.754116941,8.2,330.5,79.1,133.8,Los Lagos,1
2010-02-04 06:44:11.216747783,3.0,601.3,52.0,364.7,Tarapacá,0
2010-02-04 13:09:50.679378625,6.1,243.0,47.2,256.7,Metropolitana,0
2010-02-04 19:35:30.142009467,5.5,190.3,37.8,218.3,Los Lagos,0
2010-02-05 02:01:09.604640309,4.3,689.5,24.4,157.5,Atacama,0
2010-02-05 08:26:49.067271151,3.7,638.2,70.6,303.9,Aysén,0
2010-02-05 14:52:28.529901993,5.0,25.1,48.1,483.2,Los Lagos,0
2010-02-05 21:18:07.992532835,8.7,540.7,163.2,450.7,Biobío,0
2010-02-06 03:43:47.455163677,4.9,81.7,44.5,16.2,La Araucanía,0
2010-02-06 10:09:26.917794519,6.1,24.1,113.5,241.0,Los Ríos,0
2010-02-06 16:35:06.380425361,7.2,195.2,133.6,165.4,Biobío,0
2010-02-06 23:00:45.843056203,5.2,192.2,98.0,255.8,Arica y Parinacota,0
2010-02-07 05:26:25.305687045,8.8,574.4,109.5,303.5,Atacama,1
2010-02-07 11:52:04.768317887,8.8,498.9,158.3,100.8,Los Ríos,1
2010-02-07 18:17:44.230948729,4.5,687.2,86.7,391.0,Magallanes,0
2010-02-08 00:43:23.693579572,6.0,499.5,59.2,238.1,Maule,0
2010-02-08 07:09:03.156210414,4.8,295.7,54.2,496.0,O'Higgins,0
2010-02-08 13:34:42.618841256,4.7,490.8,74.2,13.5,Valparaíso,0
2010-02-08 20:00:22.081472098,3.2,699.6,30.4,95.7,Valparaíso,0
2010-02-09 02:26:01.544102940,6.7,498.5,109.3,345.1,Tarapacá,0
2010-02-09 08:51:41.006733782,6.0,534.4,36.7,347.9,Coquimbo,0
2010-02-09 15:17:20.469364624,3.3,657.2,42.4,291.5,Maule,0
2010-02-09 21:42:59.931995466,4.7,84.0,32.1,486.0,O'Higgins,0
2010-02-10 04:08:39.394626308,8.4,494.8,79.0,208.2,Atacama,0
2010-02-10 10:34:18.857257150,4.4,596.3,39.1,209.1,Metropolitana,0
2010-02-10 16:59:58.319887992,3.9,668.3,68.6,455.3,Aysén,0
2010-02-10 23:25:37.782518834,5.9,151.6,46.6,269.7,Maule,0
2010-02-11 05:51:17.245149676,8.9,355.2,152.4,177.5,Coquimbo,1
2010-02-11 12:16:56.707780518,4.5,478.0,76.1,359.8,Tarapacá,0
2010-02-11 18:42:36.170411360,7.0,177.0,87.4,310.2,Tarapacá,1
2010-02-12 01:08:15.633042202,7.6,422.3,64.7,153.9,Aysén,1
2010-02-12 07:33:55.095673044,4.4,184.0,37.0,149.7,O'Higgins,0
2010-02-12 13:59:34.558303886,7.4,236.8,88.6,198.4,O'Higgins,1
2010-02-12 20:25:14.020934729,5.2,311.9,26.7,36.7,O'Higgins,0
2010-02-13 02:50:53.483565571,6.8,372.8,88.2,471.4,Coquimbo,0
2010-02-13 09:16:32.946196413,6.8,317.3,131.2,92.3,Los Lagos,0
2010-02-13 15:42:12.408827255,6.2,347.8,45.4,97.7,La Araucanía,1
2010-02-13 22:07:51.871458097,3.5,212.5,47.6,323.9,Tarapacá,0
2010-02-14 04:33:31.334088939,8.0,115.5,155.4,362.4,Magallanes,0
2010-02-14 10:59:10.796719781,4.9,37.9,87.7,368.7,Biobío,0
2010-02-14 17:24:50.259350623,4.1,141.2,72.8,188.2,Los Lagos,0
2010-02-14 23:50:29.721981465,3.2,409.5,55.4,436.8,Biobío,0
2010-02-15 06:16:09.184612307,6.5,551.4,62.6,272.5,Ñuble,1
2010-02-15 12:41:48.647243149,7.1,122.6,130.4,219.9,La Araucanía,1
2010-02-15 19:07:28.109873991,3.1,80.4,59.3,405.4,La Araucanía,0
2010-02-16 01:33:07.572504833,6.1,525.8,75.9,122.5,O'Higgins,0
2010-02-16 07:58:47.035135675,4.4,217.1,45.4,430.2,La Araucanía,0
2010-02-16 14:24:26.497766517,6.9,666.3,77.4,269.9,Atacama,0
2010-02-16 20:50:05.960397359,4.0,501.5,40.1,450.1,La Araucanía,0
2010-02-17 03:15:45.423028201,7.1,232.1,58.1,101.6,Magallanes,0
2010-02-17 09:41:24.885659043,5.3,206.2,75.7,468.1,Maule,0
2010-02-17 16:07:04.348289885,8.6,369.0,115.6,344.3,Ñuble,1
2010-02-17 22:32:43.810920728,3.8,60.0,45.4,309.5,Aysén,0
2010-02-18 04:58:23.273551570,5.0,86.8,32.2,211.6,Los Ríos,0
2010-02-18 11:24:02.736182412,3.7,127.2,62.7,478.2,Valparaíso,0
2010-02-18 17:49:42.198813254,8.5,543.4,64.8,222.5,Biobío,1
2010-02-19 00:15:21.661444096,8.3,362.1,55.8,249.8,Ñuble,1
2010-02-19 06:41:01.124074938,4.5,12.3,64.6,391.0,Metropolitana,0
2010-02-19 13:06:40.586705780,7.0,473.1,76.9,143.1,Aysén,1
2010-02-19 19:32:20.049336622,7.9,299.5,46.6,146.5,Antofagasta,0
2010-02-20 01:57:59.511967464,6.3,360.0,65.1,387.9,Tarapacá,0
2010-02-20 08:23:38.974598306,6.2,153.8,102.8,65.2,Tarapacá,0
2010-02-20 14:49:18.437229148,4.5,388.5,64.0,411.7,Antofagasta,0
2010-02-20 21:14:57.899859990,3.6,685.5,37.6,313.0,Metropolitana,0
2010-02-21 03:40:37.362490832,8.4,56.0,66.2,270.0,O'Higgins,0
2010-02-21 10:06:16.825121674,8.4,202.3,121.6,115.3,Aysén,1
2010-02-21 16:31:56.287752516,6.8,173.9,124.5,393.4,Magallanes,0
2010-02-21 22:57:35.750383358,5.0,177.7,73.5,402.7,Atacama,0
2010-02-22 05:23:15.213014201,5.1,268.2,87.7,242.0,Magallanes,0
2010-02-22 11:48:54.675645043,7.4,573.6,94.9,195.2,Antofagasta,0
2010-02-22 18:14:34.138275885,8.4,639.4,132.5,123.8,Biobío,0
2010-02-23 00:40:13.600906727,8.3,145.5,153.1,377.4,Metropolitana,0
2010-02-23 07:05:53.063537569,7.7,382.4,127.8,320.1,Antofagasta,1
2010-02-23 13:31:32.526168411,6.9,447.6,128.7,104.1,O'Higgins,0
2010-02-23 19:57:11.988799253,3.5,367.7,40.1,397.4,Aysén,0
2010-02-24 02:22:51.451430095,4.0,306.7,74.3,441.2,Atacama,0
2010-02-24 08:48:30.914060937,8.4,138.4,120.3,30.6,Magallanes,1
2010-02-24 15:14:10.376691779,6.6,344.3,119.1,386.4,O'Higgins,0
2010-02-24 21:39:49.839322621,3.1,283.8,17.3,426.5,Tarapacá,0
2010-02-25 04:05:29.301953463,3.6,557.9,53.5,495.8,Los Ríos,0
2010-02-25 10:31:08.764584305,7.0,535.7,124.0,119.6,O'Higgins,0
2010-02-25 16:56:48.227215147,3.0,98.1,22.8,186.1,O'Higgins,0
2010-02-25 23:22:27.689845989,4.0,66.5,59.7,483.1,Los Ríos,0
2010-02-26 05:48:07.152476831,6.3,636.2,109.5,47.9,Ñuble,0
2010-02-26 12:13:46.615107674,7.2,377.2,67.1,262.3,Antofagasta,0
2010-02-26 18:39:26.077738516,6.9,601.2,76.4,253.9,Tarapacá,0
2010-02-27 01:05:05.540369358,4.3,45.4,58.2,303.7,Metropolitana,0
2010-02-27 07:30:45.003000200,7.3,370.9,93.3,166.1,Maule,1
2010-02-27 13:56:24.465631042,4.4,379.9,24.6,463.0,Ñuble,0
2010-02-27 20:22:03.928261884,5.0,603.2,32.4,135.8,Arica y Parinacota,0
2010-02-28 02:47:43.390892726,7.5,72.8,48.8,325.2,Los Lagos,0
2010-02-28 09:13:22.853523568,6.9,172.1,61.6,248.5,Los Lagos,0
2010-02-28 15:39:02.316154410,8.1,287.5,70.4,134.1,Los Ríos,0
2010-02-28 22:04:41.778785252,6.9,606.8,111.3,95.2,Coquimbo,0
2010-03-01 04:30:21.241416094,6.4,657.5,87.0,478.3,Los Ríos,0
2010-03-01 10:56:00.704046936,3.6,694.9,59.3,281.1,Antofagasta,0
2010-03-01 17:21:40.166677778,5.2,671.6,31.5,302.5,Maule,0
2010-03-01 23:47:19.629308620,4.6,9.1,56.5,391.7,O'Higgins,0
2010-03-02 06:12:59.091939462,4.5,38.2,44.4,41.5,Magallanes,0
2010-03-02 12:38:38.554570304,8.8,107.6,156.2,357.2,Maule,1
2010-03-02 19:04:18.017201146,5.4,247.5,84.3,83.4,Maule,0
2010-03-03 01:29:57.479831988,8.4,581.8,151.5,370.5,Ñuble,0
2010-03-03 07:55:36.942462831,6.8,625.4,38.7,71.5,Magallanes,0
2010-03-03 14:21:16.405093673,7.8,134.8,123.3,416.4,Antofagasta,0
2010-03-03 20:46:55.867724515,6.0,435.7,78.6,340.8,Los Lagos,0
2010-03-04 03:12:35.330355357,6.5,642.6,112.9,193.6,Metropolitana,0
2010-03-04 09:38:14.792986199,6.0,327.3,75.6,180.1,Coquimbo,0
2010-03-04 16:03:54.255617041,4.2,77.0,55.0,75.3,Valparaíso,0
2010-03-04 22:29:33.718247883,7.3,323.2,42.2,452.1,O'Higgins,0
2010-03-05 04:55:13.180878725,4.7,266.2,70.6,60.1,Ñuble,0
2010-03-05 11:20:52.643509567,3.1,406.5,28.2,236.6,Biobío,0
2010-03-05 17:46:32.106140409,6.9,309.9,36.5,119.0,O'Higgins,0
2010-03-06 00:12:11.568771251,4.1,17.1,24.6,498.2,Metropolitana,0
2010-03-06 06:37:51.031402093,8.6,695.8,166.5,293.3,Magallanes,0
2010-03-06 13:03:30.494032935,8.7,382.8,88.7,75.6,Los Ríos,1
2010-03-06 19:29:09.956663777,8.5,334.2,153.2,334.1,Arica y Parinacota,0
2010-03-07 01:54:49.419294619,5.2,668.5,100.9,495.8,Arica y Parinacota,0
2010-03-07 08:20:28.881925461,3.1,113.3,59.4,302.9,Magallanes,0
2010-03-07 14:46:08.344556303,8.6,136.5,156.7,229.2,Valparaíso,1
2010-03-07 21:11:47.807187145,5.6,566.6,103.2,147.3,Maule,0
2010-03-08 03:37:27.269817988,8.8,186.3,82.1,47.0,O'Higgins,1
2010-03-08 10:03:06.732448830,8.8,560.5,64.0,114.9,La Araucanía,1
2010-03-08 16:28:46.195079672,8.1,193.7,118.2,277.3,Arica y Parinacota,0
2010-03-08 22:54:25.657710514,4.8,28.1,59.1,377.1,Magallanes,0
2010-03-09 05:20:05.120341356,5.3,364.3,34.4,439.1,O'Higgins,0
2010-03-09 11:45:44.582972198,8.1,141.7,122.8,397.1,Coquimbo,0
2010-03-09 18:11:24.045603040,4.9,531.7,65.9,63.6,Tarapacá,0
2010-03-10 00:37:03.508233882,4.0,450.6,71.8,387.0,Metropolitana,0
2010-03-10 07:02:42.970864724,6.3,646.9,89.1,291.2,Tarapacá,0
2010-03-10 13:28:22.433495566,8.6,549.2,117.0,235.1,Magallanes,0
2010-03-10 19:54:01.896126408,7.2,130.6,83.6,286.8,La Araucanía,0
2010-03-11 02:19:41.358757250,6.4,561.1,76.4,5.0,Atacama,0
2010-03-11 08:45:20.821388092,3.6,451.0,69.5,34.8,Los Ríos,0
2010-03-11 15:11:00.284018934,6.7,469.9,47.4,263.4,Biobío,0
2010-03-11 21:36:39.746649776,8.9,583.4,104.1,87.6,Magallanes,1
2010-03-12 04:02:19.209280618,3.8,403.8,56.4,273.2,La Araucanía,0
2010-03-12 10:27:58.671911460,6.1,328.9,70.1,177.8,Los Lagos,0
2010-03-12 16:53:38.134542302,8.3,447.5,76.8,453.8,Magallanes,0
2010-03-12 23:19:17.597173144,7.4,212.1,68.9,474.9,Atacama,0
2010-03-13 05:44:57.059803987,7.2,131.9,61.2,489.9,Coquimbo,0
2010-03-13 12:10:36.522434829,7.2,433.5,73.1,449.6,Valparaíso,0
2010-03-13 18:36:15.985065671,5.2,167.5,94.0,493.0,Tarapacá,0
2010-03-14 01:01:55.447696513,4.8,60.5,60.4,353.4,O'Higgins,0
2010-03-14 07:27:34.910327355,7.9,5.4,68.0,480.3,Los Ríos,0
2010-03-14 13:53:14.372958197,7.9,427.8,85.1,321.3,Maule,1
2010-03-14 20:18:53.835589039,8.2,256.7,54.0,404.8,Antofagasta,0
2010-03-15 02:44:33.298219881,8.5,527.9,157.8,66.8,Metropolitana,1
2010-03-15 09:10:12.760850723,6.1,265.7,67.9,341.6,Atacama,0
2010-03-15 15:35:52.223481565,6.0,342.8,118.2,465.6,Biobío,0
2010-03-15 22:01:31.686112407,7.8,287.9,79.7,270.5,Los Ríos,0
2010-03-16 04:27:11.148743249,6.9,457.1,121.1,94.2,Ñuble,0
2010-03-16 10:52:50.611374091,7.2,252.5,63.7,263.9,Biobío,1
2010-03-16 17:18:30.074004933,7.8,674.8,47.9,353.8,Atacama,0
2010-03-16 23:44:09.536635775,8.3,655.6,45.5,385.1,Arica y Parinacota,0
2010-03-17 06:09:48.999266617,5.0,594.4,70.5,262.3,Biobío,0
2010-03-17 12:35:28.461897459,5.3,644.6,51.3,109.5,Coquimbo,0
2010-03-17 19:01:07.924528301,3.6,317.2,42.0,463.4,Valparaíso,0
2010-03-18 01:26:47.387159144,6.5,377.8,112.3,387.0,Los Ríos,0
2010-03-18 07:52:26.849789986,3.2,520.8,27.9,136.1,Magallanes,0
2010-03-18 14:18:06.312420828,5.8,488.8,55.9,406.1,Biobío,0
2010-03-18 20:43:45.775051670,6.3,624.0,111.4,174.6,Coquimbo,0
2010-03-19 03:09:25.237682512,4.7,502.9,58.2,156.9,Valparaíso,0
2010-03-19 09:35:04.700313354,6.5,698.5,113.2,431.7,Antofagasta,0
2010-03-19 16:00:44.162944196,3.2,247.2,34.0,436.7,Biobío,0
2010-03-19 22:26:23.625575038,3.2,583.9,35.1,199.8,Magallanes,0
2010-03-20 04:52:03.088205880,7.9,489.9,59.3,5.5,Tarapacá,1
2010-03-20 11:17:42.550836722,5.2,485.5,97.5,94.1,Coquimbo,0
2010-03-20 17:43:22.013467564,3.8,231.5,70.1,454.7,Valparaíso,0
2010-03-21 00:09:01.476098406,6.1,551.0,120.6,449.5,Ñuble,0
2010-03-21 06:34:40.938729248,7.6,630.8,83.9,227.2,Valparaíso,1
2010-03-21 13:00:20.401360090,4.3,156.9,74.3,152.8,Coquimbo,0
2010-03-21 19:25:59.863990932,6.7,439.7,75.2,152.1,Aysén,1
2010-03-22 01:51:39.326621774,3.5,277.5,41.4,448.7,Tarapacá,0
2010-03-22 08:17:18.789252616,3.3,692.7,57.6,163.0,Arica y Parinacota,0
2010-03-22 14:42:58.251883458,6.2,337.8,47.5,256.3,Aysén,0
2010-03-22 21:08:37.714514301,6.2,163.7,51.5,365.8,Magallanes,0
2010-03-23 03:34:17.177145143,6.8,270.4,66.1,105.5,Los Ríos,1
2010-03-23 09:59:56.639775985,7.4,459.4,124.5,127.7,Ñuble,1
2010-03-23 16:25:36.102406827,8.9,57.9,94.2,179.7,Valparaíso,1
2010-03-23 22:51:15.565037669,6.1,424.5,63.3,327.5,Arica y Parinacota,0
2010-03-24 05:16:55.027668511,4.9,652.2,97.9,408.9,Arica y Parinacota,0
2010-03-24 11:42:34.490299353,7.8,596.0,83.9,273.8,Valparaíso,0
2010-03-24 18:08:13.952930195,4.6,52.0,40.1,67.3,Arica y Parinacota,0
2010-03-25 00:33:53.415561037,5.6,695.4,80.3,223.7,Tarapacá,0
2010-03-25 06:59:32.878191879,3.5,490.6,59.6,64.7,Arica y Parinacota,0
2010-03-25 13:25:12.340822721,3.2,117.8,19.3,45.1,Magallanes,0
2010-03-25 19:50:51.803453563,8.8,13.6,125.7,295.2,Metropolitana,0
2010-03-26 02:16:31.266084405,8.0,124.0,44.3,478.1,Atacama,1
2010-03-26 08:42:10.728715247,7.2,587.5,92.8,419.0,Los Ríos,0
2010-03-26 15:07:50.191346089,5.5,20.0,48.7,387.5,Atacama,0
2010-03-26 21:33:29.653976931,4.0,167.0,38.4,363.8,Atacama,0
2010-03-27 03:59:09.116607773,3.9,531.3,46.8,448.7,Aysén,0
2010-03-27 10:24:48.579238615,4.5,412.3,85.1,376.7,Coquimbo,0
2010-03-27 16:50:28.041869458,6.3,549.0,98.7,313.8,Magallanes,0
2010-03-27 23:16:07.504500300,7.3,523.6,139.1,183.0,La Araucanía,0
2010-03-28 05:41:46.967131142,7.0,40.2,104.3,51.4,Maule,0
2010-03-28 12:07:26.429761984,4.7,625.3,24.0,231.1,Biobío,0
2010-03-28 18:33:05.892392826,8.7,162.8,78.2,462.5,La Araucanía,0
2010-03-29 00:58:45.355023668,7.4,389.6,137.5,292.0,Los Lagos,1
2010-03-29 07:24:24.817654510,6.3,452.8,92.3,93.1,Aysén,0
2010-03-29 13:50:04.280285352,6.7,122.2,132.2,324.9,Coquimbo,0
2010-03-29 20:15:43.742916194,5.5,683.5,40.4,233.3,Ñuble,0
2010-03-30 02:41:23.205547036,4.5,344.3,42.5,465.8,Tarapacá,0
2010-03-30 09:07:02.668177878,5.1,45.1,53.2,81.3,O'Higgins,0
2010-03-30 15:32:42.130808720,7.5,656.4,74.2,356.3,O'Higgins,0
2010-03-30 21:58:21.593439562,3.1,412.5,27.2,341.1,Maule,0
2010-03-31 04:24:01.056070404,3.7,490.9,43.1,491.8,Atacama,0
2010-03-31 10:49:40.518701246,3.3,370.0,48.3,282.9,Antofagasta,0
